# height (km)	distance (km)
4053.1	49.7
# azi	zh	zdr	phidp	rhohv	vel
-101.5	-1.5	1.94	74.4	1.045	10.0
-102.5	-4.5	-0.12	65.6	1.002	10.0
-103.5	0.0	0.00	0.0	0.000	0.0
-104.5	-5.0	1.94	61.4	0.898	10.0
-105.5	0.0	0.00	0.0	0.000	0.0
-106.5	-2.0	0.88	65.6	0.968	10.0
-107.5	-2.5	0.94	75.1	0.968	10.0
-108.5	-3.5	1.38	65.2	0.898	10.0
-109.5	-4.0	0.25	65.6	0.958	9.5
-110.5	-1.0	1.56	63.5	0.902	7.5
-111.5	-2.5	1.88	62.8	0.925	9.5
-112.5	-3.5	1.31	64.5	0.915	9.0
-113.5	-3.5	1.56	69.8	0.998	9.0
-114.5	-4.0	1.50	73.0	0.982	9.5
-115.5	0.0	0.00	0.0	0.000	0.0
-116.5	-1.5	2.62	58.2	0.945	8.5
-117.5	-4.5	1.31	64.2	0.942	8.5
-118.5	-3.0	3.06	59.6	0.932	8.0
-119.5	-1.5	1.75	65.6	0.955	8.0
-120.5	0.0	0.00	0.0	0.000	0.0
-121.5	-1.5	2.44	66.3	0.985	7.5
-122.5	-5.0	2.12	66.3	1.052	7.5
-123.5	0.0	0.00	0.0	0.000	0.0
-124.5	-2.0	3.44	55.4	0.892	7.0
-125.5	0.0	0.00	0.0	0.000	0.0
-126.5	-2.5	3.56	62.8	0.925	6.5
-127.5	-4.0	1.81	65.6	0.845	7.0
-128.5	0.0	0.00	0.0	0.000	0.0
-129.5	-2.5	3.38	58.9	0.948	5.5
-130.5	-4.5	0.19	51.1	0.935	6.0
-131.5	-1.5	3.19	46.9	0.938	5.0
-132.5	-4.0	3.00	59.6	0.998	5.0
-133.5	-2.5	2.88	62.8	0.955	5.5
-134.5	-2.0	4.44	59.2	0.972	4.5
-135.5	-1.5	3.75	60.6	0.938	4.5
-136.5	-0.5	6.69	56.8	0.618	4.0
-137.5	-2.0	3.81	63.1	0.972	4.0
-138.5	-2.0	4.56	59.2	0.972	3.5
-139.5	0.0	2.88	53.6	0.982	3.5
-140.5	-1.0	4.06	57.1	0.988	3.0
-141.5	1.5	5.00	49.7	0.962	3.0
-142.5	-2.0	2.38	53.9	0.985	3.5
-143.5	1.5	4.50	61.0	0.935	2.0
-144.5	-1.5	4.81	42.0	0.878	2.0
-145.5	0.5	4.31	57.5	0.952	2.5
-146.5	1.0	5.00	52.5	0.982	1.5
-147.5	-1.5	4.31	53.2	0.922	1.5
